Assignee;Cycle Time (days);Type Name;First Date Moved To Validering pågår;Faktaområde;Long
Kristin;0;Bug;;Underhållbarhet;0
Björn;0;;;Underhållbarhet;0
Björn;0;Bug;;Ekonomi;0
Björn;10;Bug;mars;Läkemedel;1
None;0;;;Privata vårdgivare;0
Niklas Emanuelsson;0;;;;0
None;0;;;Vårddata;0
None;0;Bug;;Vårddata;0
Björn;0;Bug;;Vårddata;0
johlev;0;;;;0
None;0;Bug;;Vårddata;0
Björn;0;;;Underhållbarhet;0
Kristin;11;;april;Personal;1
Björn;0;;maj;Viv;0
johlev;0;Bug;;Vårddata;0
None;0;;;Viv;0
johlev;0;Bug;;Vårddata;0
None;0;;;Vårddata;0
Björn;0;;;Underhållbarhet;0
Björn;0;;;Vårddata;0
Björn;0;;maj;Ekonomi;0
Ulrika;2;Bug;mars;Läkemedel;0
Björn;0;;;Underhållbarhet;0
Maria;0;;;;0
None;0;;;Underhållbarhet;0
None;0;Bug;;Vårddata;0
johlev;0;Bug;;Vårddata;0
Björn;0;Bug;;;0
johlev;0;Bug;;Viv;0
None;0;;;;0
None;0;Bug;;Vårddata;0
Maria;0;Bug;;Viv;0
None;0;Bug;;;0
Maria;0;Bug;;Vårddata;0
Björn;0;Incident;;Vårddata;0
None;0;;;;0
Björn;0;Bug;;Vårddata;0
Björn;0;;;Inköp;0
None;0;;;;0
Björn;0;Bug;;Läkemedel;0
Maria;0;;;;0
Björn;0;Bug;;;0
Maria;0;;;;0
Björn;0;Bug;;Ekonomi;0
Maria;0;Bug;;Övriga;0
Maria;0;;;;0
None;0;Bug;;Vårddata;0
None;0;Bug;;;0
None;0;Bug;;;0
None;0;Bug;;Vårddata;0
None;0;Bug;;Vårddata;0
None;0;;;;0
Björn;0;;;Vårddata;0
Kristin;0;Bug;;;0
Björn;5;Bug;mars;;0
None;0;;;;0
None;0;;;;0
None;0;;;;0
None;0;Bug;;Vårddata;0
Maria;0;;;Vårddata;0
None;0;Bug;;Viv;0
Björn;0;Feature request;;Viv;0
Björn;0;Bug;;;0
None;0;Bug;;Viv;0
Björn;0;Bug;;;0
Maria;0;;;Vårddata;0
None;0;Bug;;;0
None;0;;;;0
Björn;23;Bug;april;Ekonomi;1
Björn;0;Bug;;Vårddata;0
None;0;;;;0
Maria;0;;;Vårddata;0
None;0;Bug;;Vårdata;0
Maria;0;;;;0
Björn;0;Bug;;Personal;0
Björn;0;;;Läkemedel;0
Björn;0;;;Lab;0
Björn;0;Bug;;Viv;0
None;0;;;Ambulans;0
None;0;;;;0
Björn;0;Bug;;Viv;0
Björn;0;;;Underhållbarhet;0
Björn;0;Bug;;Ekonomi;0
None;0;Bug;;;0
None;57;;april;;1
Björn;0;Bug;;Vårdata;0
Björn;0;;;Pluss;0
None;0;Bug;;;0
None;0;;;;0
None;0;;;Personal;0
Björn;0;Bug;;Privata vårdgivare;0
johlev;0;;;Övriga;0
Björn;0;;;Viv;0
Björn;0;;;Personal;0
None;9;;mars;Ekonomi;1
Björn;0;Bug;;;0
Björn;2;;februari;Vårdata;0
None;0;;;Övriga;0
Björn;0;;;Viv;0
Björn;0;Bug;;;0
Björn;0;Bug;;Personal;0
Björn;0;;;Ekonomi;0
Björn;0;;;Personal;0
Björn;0;;;Personal;0
Björn;0;Bug;;;0
None;0;;;Vårdata;0
Björn;0;Bug;;Pluss;0
Maria;0;Bug;februari;Viv;0
None;0;Bug;;;0
Björn;0;;;Vårddata;0
Kristin;0;Bug;;Ambulans;0
Ulrika;0;;;;0
Björn;0;Bug;;;0
None;0;;;;0
None;0;Bug;;Vårdata;0
None;0;;;Vårdata;0
Maria;110;;februari;Underhållbarhet;1
Maria;0;;mars;Viv;0
None;0;;;;0
None;0;Bug;;Ekonomi;0
Maria;0;;;Vårdata;0
Björn;0;;;Pluss;0
Björn;0;Bug;;Underhållbarhet;0
None;0;Bug;;;0
None;0;;;Ekonomi;0
Björn;0;Bug;;Personal;0
None;0;Bug;;Vårdata;0
None;0;Bug;;Personal;0
Björn;0;;;;0
Björn;0;Bug;;Ekonomi;0
Björn;0;;;;0
None;0;;;;0
None;0;;;;0
None;0;;;;0
None;0;;;Omorg;0
None;0;;;Vårddata;0
Maria;0;;;Omorg;0
Maria;0;;;Omorg;0
Maria;0;;;Omorg;0
Björn;0;;;Inköp;0
None;0;Bug;;;0
johlev;0;;april;Viv;0
Maria;0;Bug;;Viv;0
Björn;0;Bug;;Vårdata;0
Maria;0;;;;0
Björn;0;Bug;;;0
Björn;1;;januari;Ekonomi;0
None;0;;;Vårdata;0
Björn;0;;;Personal;0
None;0;;;Vårdata;0
Björn;0;;;Personal;0
Maria;0;;;;0
None;0;Bug;;;0
None;0;Bug;;Ambulans;0
Maria;0;Bug;februari;Viv;0
Björn;0;;;Personal;0
Björn;0;Bug;;Personal;0
Björn;0;Bug;;Vårdata;0
None;0;Bug;;;0
None;0;Bug;;Vårdata;0
Björn;0;Bug;;Personal;0
None;0;;;Personal;0
None;26;Bug;januari;Ambulans;1
None;0;;;;0
Björn;0;Bug;;;0
Björn;0;Bug;;;0
None;0;;;;0
None;0;;;Omorg;0
Björn;5;;mars;Underhållbarhet;0
Maria;0;Bug;;Vårdata;0
Björn;28;;januari;Underhållbarhet;1
Björn;0;;;Underhållbarhet;0
None;0;Bug;;;0
Maria;0;Incident;;Vårdata;0
Björn;0;;;Vårdata;0
Maria;0;;;;0
None;0;;;;0
None;0;;;Omorg;0
None;1;Bug;december;;0
None;0;Bug;;Ekonomi;0
None;0;Bug;;Vårdata;0
None;0;Bug;;Vårdata;0
Ulrika;0;Bug;;Lab;0
Björn;0;Bug;;Personal;0
None;0;Bug;;Ambulans;0
None;83;;december;Ekonomi;1
Björn;0;Bug;;Vårdata;0
Björn;0;Bug;;Vårdata;0
Kristin;53;Feature request;juli;Övriga;1
Ulrika;0;Bug;;;0
Björn;0;Bug;;Personal;0
Björn;46;;december;Pluss;1
Björn;0;;december;Vårdata;0
Maria;7;;januari;Vårdata;0
Maria;56;Bug;december;Vårdata;1
Björn;0;;;Ekonomi;0
Björn;0;;;Ambulans;0
None;0;;;;0
None;0;Bug;;Ekonomi;0
None;0;;;Omorg;0
Björn;0;;;Personal;0
None;4;Bug;december;Ekonomi;0
Björn;0;Bug;;Personal;0
None;0;Bug;;;0
Björn;0;Bug;;;0
None;12;;november;Ekonomi;1
Björn;0;Bug;december;Vårdata;0
Björn;0;;;Personal;0
None;0;;;Omorg;0
None;0;Bug;;Ekonomi;0
None;0;;;Ekonomi;0
None;0;;;;0
None;0;;;Ambulans;0
None;0;;;Omorg;0
None;2;;november;;0
None;2;;november;;0
None;0;;;Personal;0
Björn;0;;;Pluss;0
None;0;;;;0
None;0;;;Omorg;0
Maria;0;;;;0
None;0;Bug;;Ambulans;0
Björn;0;Bug;;Övriga;0
Björn;0;;;Personal;0
Maria;5;Bug;januari;Viv;0
None;0;;;;0
None;0;;;Ekonomi;0
Björn;0;Bug;;;0
Björn;0;;;Läkemedel;0
Maria;0;;;Vårdata;0
None;79;;december;Ekonomi;1
Björn;0;Bug;;;0
Björn;0;Bug;;Vårdata;0
None;0;;;Omorg;0
None;0;;;Omorg;0
None;0;;;Övriga;0
None;0;Bug;;Pluss;0
None;0;;;Ekonomi;0
Björn;49;;december;Vårdata;1
Björn;0;;;Vårdata;0
None;0;Bug;;Ekonomi;0
Björn;0;Bug;;Vårdata;0
None;6;Bug;november;Ekonomi;0
None;0;;;;0
None;0;;;;0
Björn;0;Bug;;Personal;0
Björn;0;;;;0
None;0;Bug;;Ambulans;0
Maria;0;Bug;;;0
Björn;0;;;Underhållbarhet;0
None;0;Bug;;Ekonomi;0
None;0;Bug;;;0
None;0;;;;0
None;0;;;Personal;0
None;0;Bug;;Vårdata;0
Maria;5;;december;Vårdata;0
None;0;Bug;;Ekonomi;0
None;0;;;Personal;0
None;0;;;;0
None;0;;;Vårdata;0
Björn;147;;december;Personal;1
Björn;0;Bug;;Lab;0
None;0;;;Övriga;0
None;0;;;Vårdata;0
Björn;0;Bug;;Lab;0
None;0;;;Ekonomi;0
None;0;;oktober;Ekonomi;0
Björn;0;Bug;;Läkemedel;0
None;0;;;;0
None;0;Bug;;Ekonomi;0
Björn;0;Bug;;Lab;0
None;0;;;;0
None;0;Bug;;;0
Björn;13;Feature request;februari;Underhållbarhet;1
Björn;18;Bug;november;Personal;1
Björn;0;Bug;;Utomänsvård;0
None;0;;;;0
johlev;13;;april;Vårddata;1
Björn;0;Bug;;Ekonomi;0
None;0;;;Ekonomi;0
None;1;Bug;oktober;Vårdata;0
Björn;0;;;Läkemedel;0
None;9;Bug;november;Ekonomi;1
None;1;;oktober;Vårdata;0
Björn;0;Bug;;Vårdata;0
None;0;;;Övriga;0
Björn;0;;;;0
None;0;Bug;;Läkemedel;0
None;0;;;Övriga;0
None;0;;;Övriga;0
None;0;;;Ekonomi;0
Björn;0;Bug;;Personal;0
Björn;0;;;Personal;0
None;4;;oktober;Vårdata;0
None;0;;;Övriga;0
Björn;12;;oktober;Vårdata;1
None;8;;oktober;Ambulans;1
None;0;Bug;;Övriga;0
Niklas Emanuelsson;0;;;;0
Björn;0;;;;0
Björn;0;Bug;;;0
Maria;0;Bug;;;0
None;0;;;;0
None;11;;november;Ekonomi;1
None;10;;november;Ekonomi;1
None;0;;;;0
None;0;;;;0
Björn;0;;;;0
Kristin;20;;augusti;Underhållbarhet;1
None;0;Bug;;Ekonomi;0
Björn;0;;september;;0
None;0;;;Ekonomi;0
None;19;;oktober;Ekonomi;1
None;0;;;;0
Maria;0;Bug;;;0
None;0;;;;0
None;0;Bug;;;0
Björn;0;Bug;;;0
None;0;Bug;;;0
Maria;0;Bug;;;0
Björn;0;Bug;;;0
Maria;0;Bug;;;0
Niklas Emanuelsson;0;;;;0
None;0;;;;0
Björn;0;Bug;;;0
Björn;0;;;;0
None;0;Bug;;;0
Maria;0;Bug;;;0
None;0;;;;0
Björn;0;Bug;;;0
Björn;0;;;Personal;0
None;0;Bug;;;0
None;0;Bug;;;0
Björn;0;Bug;;;0
Björn;0;Bug;;;0
None;0;;;;0
None;0;;;Övriga;0
None;0;Bug;;;0
None;0;;;Läkemedel;0
Niklas Emanuelsson;57;;oktober;;1
Björn;73;;september;Ekonomi;1
Björn;80;;september;Ekonomi;1
Björn;80;;september;Ekonomi;1
None;0;Bug;;;0
None;0;Bug;;;0
None;0;Bug;;;0
None;0;;;;0
None;0;;;;0
Ulrika;28;;oktober;Övriga;1
Maria;0;;;;0
Björn;1;;september;;0
None;0;Bug;;;0
None;0;;;Ekonomi;0
None;5;;september;;0
None;0;;;;0
None;0;Feature request;;Underhållbarhet;0
None;0;;;Vårdata;0
None;0;;;Personal;0
None;0;;;;0
Maria;0;;;Övriga;0
Ulrika;0;Bug;;;0
Björn;0;;;;0
Maria;0;;;;0
None;0;;;;0
Ulrika;0;Bug;;;0
None;0;Bug;;;0
None;0;;;;0
Niklas Emanuelsson;0;;;;0
Björn;0;;;;0
None;0;Bug;;Ekonomi;0
Niklas Emanuelsson;0;;;;0
Björn;0;Bug;;;0
Ulrika;0;Feature request;;Vårddata;0
Ulrika;13;Feature request;maj;;1
Niklas Emanuelsson;7;;september;;0
None;0;Bug;;;0
None;0;Bug;;;0
Niklas Emanuelsson;0;;;;0
Björn;0;Feature request;;Personal;0
Niklas Emanuelsson;0;;augusti;;0
None;17;;oktober;Övriga;1
Björn;0;;;Underhållbarhet;0
Björn;0;Bug;;;0
Maria;0;Bug;;;0
Björn;0;;;;0
None;0;Bug;;;0
Niklas Emanuelsson;0;;augusti;Underhållbarhet;0
Björn;0;;;;0
johlev;0;;;;0
johlev;0;;;;0
johlev;0;Bug;;;0
Maria;0;;;Övriga;0
None;0;;;Övriga;0
None;0;;;;0
johlev;0;;;;0
Björn;0;Bug;;;0
Björn;0;Bug;;;0
None;45;Bug;september;Ekonomi;1
None;0;Bug;;Ekonomi;0
None;0;;;;0
Niklas Emanuelsson;0;;;;0
None;0;Bug;;;0
Björn;0;Bug;;;0
Ulrika;35;;juli;;1
None;0;;;;0
None;0;;;;0
Björn;49;Feature request;december;Vårddata;1
Niklas Emanuelsson;0;;;;0
None;0;;;;0
None;0;;;;0
None;0;;;;0
Niklas Emanuelsson;0;;;;0
None;0;Bug;;;0
None;0;;;;0
None;0;;;;0
None;0;Bug;;;0
Björn;0;Bug;;;0
None;0;Bug;;;0
Maria;0;;;;0
johlev;0;;;;0
Björn;56;;december;Personal;1
None;0;;;Övriga;0
Björn;0;Bug;;;0
johlev;0;;;;0
None;0;;;;0
Björn;2;Feature request;augusti;;0
johlev;0;Bug;;;0
johlev;0;;;;0
Björn;58;Feature request;mars;Vårddata;1
None;0;;;;0
None;0;;;;0
None;0;Bug;;;0
Björn;0;;;;0
Björn;9;;juni;;1
None;0;Bug;;;0
None;0;;;;0
Niklas Emanuelsson;0;Bug;;;0
Björn;0;;;;0
johlev;0;Bug;;;0
None;0;;;;0
Maria;68;Bug;augusti;Viv;1
Björn;0;;;;0
None;0;;;;0
Björn;0;Feature request;;Vårddata;0
None;0;;;Vårddata;0
None;0;;;;0
None;0;Bug;;;0
Maria;0;Bug;;;0
Björn;0;;;;0
None;0;Bug;;;0
johlev;0;Bug;;;0
Björn;0;Bug;;;0
Björn;0;;;;0
Maria;0;Bug;;;0
Niklas Emanuelsson;39;;juni;;1
Björn;89;;juni;;1
